geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
city,Salt Lake City,driving,NA,Utah,United States,2020-06-17,141.06
city,Salt Lake City,driving,NA,Utah,United States,2020-06-18,148.96
city,Salt Lake City,driving,NA,Utah,United States,2020-06-19,166.07
city,Salt Lake City,driving,NA,Utah,United States,2020-06-20,153.16
city,Salt Lake City,driving,NA,Utah,United States,2020-06-21,90.96
city,Salt Lake City,driving,NA,Utah,United States,2020-06-22,142.94
city,Salt Lake City,driving,NA,Utah,United States,2020-06-23,147.92
city,Salt Lake City,driving,NA,Utah,United States,2020-06-24,150.14
city,Salt Lake City,driving,NA,Utah,United States,2020-06-25,154.74
city,Salt Lake City,driving,NA,Utah,United States,2020-06-26,170.96
city,Salt Lake City,driving,NA,Utah,United States,2020-06-27,157.65
city,Salt Lake City,driving,NA,Utah,United States,2020-06-28,96.54
city,Salt Lake City,driving,NA,Utah,United States,2020-06-29,140.3
city,Salt Lake City,driving,NA,Utah,United States,2020-06-30,148.05
city,Salt Lake City,driving,NA,Utah,United States,2020-07-01,153.83
city,Salt Lake City,driving,NA,Utah,United States,2020-07-02,159.77
city,Salt Lake City,driving,NA,Utah,United States,2020-07-03,147.96
city,Salt Lake City,driving,NA,Utah,United States,2020-07-04,108.65
city,Salt Lake City,driving,NA,Utah,United States,2020-07-05,93.04
city,Salt Lake City,driving,NA,Utah,United States,2020-07-06,144.43
city,Salt Lake City,driving,NA,Utah,United States,2020-07-07,149.87
city,Salt Lake City,driving,NA,Utah,United States,2020-07-08,151.61
city,Salt Lake City,driving,NA,Utah,United States,2020-07-09,155.84
city,Salt Lake City,driving,NA,Utah,United States,2020-07-10,167.95
city,Salt Lake City,driving,NA,Utah,United States,2020-07-11,157.31
city,Salt Lake City,driving,NA,Utah,United States,2020-07-12,102.26
city,Salt Lake City,driving,NA,Utah,United States,2020-07-13,146.32
city,Salt Lake City,driving,NA,Utah,United States,2020-07-14,150.41
city,Salt Lake City,driving,NA,Utah,United States,2020-07-15,154.56
city,Salt Lake City,driving,NA,Utah,United States,2020-07-16,157.05
city,Salt Lake City,driving,NA,Utah,United States,2020-07-17,174.27
city,Salt Lake City,driving,NA,Utah,United States,2020-07-18,161.01
city,Salt Lake City,driving,NA,Utah,United States,2020-07-19,103.71
city,Salt Lake City,driving,NA,Utah,United States,2020-07-20,149.28
city,Salt Lake City,driving,NA,Utah,United States,2020-07-21,151.49
city,Salt Lake City,driving,NA,Utah,United States,2020-07-22,151.09
city,Salt Lake City,driving,NA,Utah,United States,2020-07-23,159.46
city,Salt Lake City,driving,NA,Utah,United States,2020-07-24,149.88
city,Salt Lake City,driving,NA,Utah,United States,2020-07-25,148.4
city,Salt Lake City,driving,NA,Utah,United States,2020-07-26,102.96
city,Salt Lake City,driving,NA,Utah,United States,2020-07-27,147.89
city,Salt Lake City,driving,NA,Utah,United States,2020-07-28,154.09
city,Salt Lake City,driving,NA,Utah,United States,2020-07-29,158.03
city,Salt Lake City,driving,NA,Utah,United States,2020-07-30,165.4
city,Salt Lake City,driving,NA,Utah,United States,2020-07-31,179.7
