geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-08,183.67
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-09,176.98
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-10,182.21
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-11,167.26
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-12,243.64
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-13,266.91
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-14,240.64
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-15,181.46
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-16,192.29
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-17,205.43
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-18,217.65
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-19,285.5
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-20,314.84
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-21,270.28
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-22,213.98
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-23,213.41
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-24,205.82
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-25,246.79
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-26,298.31
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-27,310.14
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-28,271.32
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-29,229.79
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-30,209.62
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-01,230.06
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-02,317.37
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-03,407.16
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-04,411.48
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-05,457.94
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-06,312.51
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-07,277.55
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-08,252.61
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-09,283.32
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-10,309.07
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-11,310.23
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-12,322.73
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-13,240.5
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-14,227.66
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-15,269.59
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-16,274.07
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-17,328.08
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-18,412.98
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-19,422.88
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-20,285.68
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-21,287.85
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-22,261.96
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-23,267.46
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-24,372.44
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-25,435.57
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-26,404.96
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-27,289.39
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-28,266.35
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-29,288.11
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-30,291
county,Belknap County,driving,NA,New Hampshire,United States,2020-07-31,340.15
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-01,424.56
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-02,405.45
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-03,297.47
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-04,239.03
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-05,272.56
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-06,306.07
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-07,365.75
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-08,394.17
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-09,402.2
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-10,301.44
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-11,289.51
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-12,286.12
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-13,294.72
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-14,357.99
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-15,418.51
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-16,377.75
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-17,283.4
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-18,274.18
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-19,291.5
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-20,299.01
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-21,354.25
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-22,414.23
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-23,376.76
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-24,276.56
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-25,261.61
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-26,259.73
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-27,260.65
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-28,325.82
